dataset,type,free_text,label_id
ViHSD,train,Nh?u cái ?m chúng mày l? chó h?i dân h?i n??c,2
ViHSD,train,Th? Vinh Yasbaga t?i cao,0
ViHSD,train,mài có óc ?? suy ngh? ko add? cái ??ng b?ng ?ó mài tính ?ào h? bnhiu cho ?? h? th?ng ngu?,2
ViHSD,train,chu?n,0
ViHSD,train,Chi? 3 va?ng ngo?c nh? con heo n?c nha? e,2
ViHSD,train,ph?i th?y k ta,0
ViHSD,train,C?nh sát chính t? comingg nè :)),0
ViHSD,train,Xuân ???ng t?i ngh?a là xuân ???ng qua,0
ViHSD,train,Nhìn chúng nó cmt mà ??ng b?n à =))))))),0
ViHSD,train,Ý th?c còn ít h?n c? s? ti?n trong túi t,1
ViHSD,train,Em yêu anh t? thu? tóc dài,0
ViHSD,train,theo chân m?y anh hàn qu?c r?i :,0
ViHSD,train,"L??ng tháng 7,8 c? thui ak con trai, nh?ng b? v?n ?n t?m cua hoàng ?? ?? s?ng wa ngày thôi con trai ak",0
ViHSD,train,M?t quá th?y ? ??,0
ViHSD,train,Gia L?c Tran Quang còn j vui h?n cà kh?a :)))))),0
ViHSD,train,ch? Hôm nay ??p quá,0
ViHSD,train,Xem r nè,0
ViHSD,train,Vi?t Ti?n nghèo là rõ ??,0
ViHSD,train,xxx video ??,1
ViHSD,train,th?y ?éo xoá kênh kêu g?i h?c trò report cho bay kênh thi?t luôn :)),2
ViHSD,train,Anh ba láo nháo là Tú xiên gi?,2
ViHSD,train,Ng??i ta b? l??ng g?t 1t? m?y còn êm ru mà ??ng này h?n tr?m tri?u thôi mà la um xùm hà,0
ViHSD,train,Tú thích hoa h?ng và mùa ?ông ???c Quang ?âm phía sau mông,0
ViHSD,train,"m?, sao b? k m? c?a hàng kinh doanh bán bình luôn cho dân, ko l?i ph?t vì mua ph?i bình ??u :)))",2
ViHSD,train,Cu?i cùng anh ?ã tr? l?i. Em t??ng anh bi?n m?t luôn cho em m?ng ?? thi?t là tình( n?i dung mang tính gi?i trí. Ko có ý anti hay ghét ai),0
ViHSD,train,Chi 3 cai gi cung co nhung cai l? la chi 3 he?t kiê?p nay cung k bao gio co .,2
ViHSD,train,V?a t?ng l??ng phát bi?t ngay,0
ViHSD,train,Ai là c?m tình diên like,0
ViHSD,train,Xin t?c tr??ng hãy cho Hi?u l?n th?n ra tr?n! ??m b?o s? có chi?n th?ng,0
ViHSD,train,??u kh?u - Chim l?n ??,1
ViHSD,train,Cai mi?ng nói không s? b? h?u qu?,1
ViHSD,train,4 n?m r?i à,0
ViHSD,train,??u 2 th? tóc r?i mà còn b? tr? trâu Levi l?a.??,0
ViHSD,train,Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),0
ViHSD,train,Kh?c Thành Nguy?n ph?c cái máu l?n,2
ViHSD,train,Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,0
ViHSD,train,Chúc abe 20-10 vui v?,0
ViHSD,train,ko vào thì l?y ?âu ra v?n vay FDI cho các anh ?út túi ?,0
ViHSD,train,Vi?c nh? l??ng cao mình xin nh??ng cho nh?ng ng??i th?t nghi?p:)),0
ViHSD,train,B52 If J97,0
ViHSD,train,Chào ng??i anh em,0
ViHSD,train,Di?p Gia Nghi nghi?p nó qu?t m ch?t bh,0
ViHSD,train,"Duy Kh??ng bên nó ai b? ho?c nghi b? thì t? cách ly t? ?i?u tr? nhé, nó còn không cho xét nghi?m c?, ch? khi nào b?n ch?t thì nó m?i khám nghi?m ?? k?t lu?n có do virus hay không, ? ngoài ???ng mà ?eo kh?u trang b?n Anh nó còn ??m vào m?t cho ch? ? ?ó mà ?i?u tr?",0
ViHSD,train,9x5=55 ch? ôg a già??,0
ViHSD,train,Tr??ng Duy ko mvp ??i mình thì là mvp c?a ??i b?n :))),0
ViHSD,train,Xin video v?i bro ??,0
ViHSD,train,B? gì b? l?m th?,0
ViHSD,train,Du h?c sinh Úc c? ?y =)),0
ViHSD,train,Ôi va?i a quang :v,0
ViHSD,train,Ch? ??i 17 n?i bánh ch?ng m?i ?c fan c?ng nên cmt cho kh m?t ch? ko bi?t ch?i GA,0
ViHSD,train,Khá khó??,0
ViHSD,train,Giúp e làm ??p v?i . E ko có ?i?u ki?n. Ko có kh? n?g nh?g th?y có ng??i ??p e r?t thích,0
ViHSD,train,Thu Boo xu?t s?c ...nh?ng em l?i làm m?y b?n kia bu?n thêm ??????,0
ViHSD,train,"Hoan nghênh ông Tr?n D?n có t? t??ng ti?n b?, không ch?ng c?ng s?n Vi?t Nam n?a. Ch? có quên ?i quá kh? ?? yêu th??ng . Ai c?ng v? già lo tu thân sám h?i là ?i?u l?a ch?n t?t nh?t. Chúc ông Tr?n D?n s?ng lâu 130 tu?i và luôn kh?e m?nh ??p lão.",0
ViHSD,train,M?y th?ng già làm b? tr??ng này n? mà ??u óc thua c? 1 bác nông dân,2
ViHSD,train,Võ Thành Nhân huy?n tho?i :((,0
ViHSD,train,S??ng mù là t?i thiên tai !,0
ViHSD,train,Mình không quan tâm cô ??n cho l?m,0
ViHSD,train,Th? e thích làm phù thu? r b?n nam ph?i làm s ?ây a nh???,0
ViHSD,train,U?y tôi là c?ng phán các ông ? ???c vl a ?i =))),0
ViHSD,train,Maruko Linh,0
ViHSD,train,?nh này ? video Superheroo nghe bu?n não ru?t -__-,0
ViHSD,train,anh tik nói quá ?úng luôn,0
ViHSD,train,BaVi :)),0
ViHSD,train,? ?ây ai là ch? ???,0
ViHSD,train,Minh m?n vcl,1
ViHSD,train,Chú Bòn em ch?t ch? ko ?n nha =))))))),0
ViHSD,train,C?c kì thuy?...hác xì....á ch?t m?..,0
ViHSD,train,Lee Quang tôi toàn nghe nh?c c?a bùi anh tu?n! Hà anh tu?n! Nghe m?y bài này ko th?m n?i,0
ViHSD,train,Nguy?n Tr?ng Thái ng??i ta nói b?n ??i nh?ng b?n có bi?t b?n ?ang ??i cái lone gì không. Hay là ??i thi?p h?ng,0
ViHSD,train,"Có anh ??, T?t lúc nào ch? vui",0
ViHSD,train,Nghe nói tr??c ?ây 1 s? thành ph?n ng??i hà n?i kì th? dân v?nh phúc ?úng không nh?. Bh sao thì m?y ng?oi ?ó b? lây h?t ch?a ?y nh?,0
ViHSD,train,Huy Hoàng =)),0
ViHSD,train,Th?o NG thua t?i d?t av qa :v,0
ViHSD,train,??,0
ViHSD,train,D?n d?n th?y jack m?t hay,0
ViHSD,train,Dì 3 ê dì 3_ là trai hay gái ?,0
ViHSD,train,V? Cu?c s? là Bùi Kim Thành còn v? nh? là lisa ph?m,0
ViHSD,train,Tr??c khi c?m lên ??u em 4 cái s?ng nó c?ng b?o y nh? th? :((((,0
ViHSD,train,éo nha liu liu,1
ViHSD,train,#NAME?,0
ViHSD,train,C?n th?n nhà ae,0
ViHSD,train,Idol,0
ViHSD,train,Duyên Ph?m ghê tr nay v?n ch??ng d? hén,0
ViHSD,train,xin ?,0
ViHSD,train,Hoàng Minh,0
ViHSD,train,Anh Trung Magic,0
ViHSD,train,"có m?t s? t?n t?i c?a ?àn bò mang tên "" c?c k? thuy?t ph?c "", có s? thích là nhai ?i nhai l?i, m?c ?ích c?a chúng trên hành tinh này v?n ch?a có l?i gi?i ?áp, theo nh? các nhà ??ng v?t h?c cho bi?t loài bò này có l?i s?ng hoang dâm tr?y l?c, có th? ??ng d?c b?t c? lúc nào, con s? c?a loài này ?ang ???c gia t?ng ?áng k?.",2
ViHSD,train,Ck4mk4m là gì á mn,0
ViHSD,train,Cho toyy xin in4 FB ho?c s?t zalo hay ig ???c hong :33,0
ViHSD,train,Ch? ch?i là ch? c?u nhân ?? th?????,0
ViHSD,train,Nghi v?n th?y chà tr?n TTBL tu,0
ViHSD,train,L?i H?p Sâm clm ??n v thì /ff,1
ViHSD,train,Dao ch?t không ??t kkkkk????????????,0
ViHSD,train,H?ng Thy cái gi?ng ?i?u nói c?m th?y hao hao gi?ng ..!,0
ViHSD,train,Nhanh th?c s?,0
ViHSD,train,??ng Nhung máy bay phalcon 10 t? belike :,0
ViHSD,train,So Pre Tài Tr? ?? Tây Ngày Hôm Ngày =)),0
ViHSD,train,Nghe k? chuy?n tí r?i làm ti?p a Thanh Le :))),0
ViHSD,train,Hoàng Anh t? t? ??,0
ViHSD,train,Dep trai moi co nhieu dua yeu,0
ViHSD,train,Bt các b?n phan cu?ng ch?i v?y mik ?ã ko nêu ra ý ki?n cá nhân,0
ViHSD,train,thêm m?t ng??i b? c?ng s?n nh?i s? không bi?t sao có th? n?o ra ???c h?t ch?t bã trong ??u,2
ViHSD,train,Nghe gi?ng n?kg quá Abe :)),1
ViHSD,train,ông làm b? tôi h?i lâu r?i ??y' Tùng sói said,0
ViHSD,train,Vì refund top 1 nên t?i nay mình xin phép ea..blabla,0
ViHSD,train,Anh Trung Gi? Kim ??,0
ViHSD,train,Có kh? n?ng t?i nay anh b? ng? ngoài ???ng :)) tu bi con t? niu,0
ViHSD,train,Bùn nh?,0
ViHSD,train,Pháo th? toang cmnl @@,0
ViHSD,train,Bóng khùng bóng ?iên,1
ViHSD,train,Làm thêm ch?c c? m? hòm csgo anh êi :V,0
ViHSD,train,Lê Huy?n ng??i ? ?sinh v?t h? ??ng ch? ng??i ai lam th? .,2
ViHSD,train,Cao Lãnh v?i chúng tôi làyy,0
ViHSD,train,Làm nh? 3-0 cho nó ok,0
ViHSD,train,???????,0
ViHSD,train,?c :),0
ViHSD,train,Ai xin inb tôi ?i,0
ViHSD,train,"Goodnow Tran lo ? nhà ?i ra ngoài ti?t diên mày b? m?c b?nh gi?, tui cam ?oan là nh? d?",0
ViHSD,train,"Nhìn ch? Minh Hi?u có duyên h?t s?c, nói chuy?n r?t chân th?t, m?c dù m?i l?n live ch?i r?t táo t?n nh?ng nghe và nhìn ch? ?y r?t thánh thi?n và ch?t. Chúc ch? luôn vui kho? và hp. Mong có d?p s? ???c g?p ch?",0
ViHSD,train,D? th??ng và duyên quá Cô ?i. Love Cô.,0
ViHSD,train,Lê Th? Bích H?ng tk tr?u,2
ViHSD,train,nh? nuôi ki?u tóc này m?i ?? combo nhé ae,0
ViHSD,train,Chang Chang ????????,0
ViHSD,train,Nguy?n Trang nói th?t m? ??,0
ViHSD,train,1 ng thì gi?t 1 m?ng . 1 ng thì feed t?t lol,0
ViHSD,train,Có p?i n? l?c là có ???c ?âu.p?i có 1 chút g?i là may m?n n?a,0
ViHSD,train,Panda Thái ?ã xem =))),0
ViHSD,train,Luôn ?ng h? K-ATM,0
ViHSD,train,Còn b?n này n?a th?y ?i,0
ViHSD,train,Gio?ng cuô?n vc,0
ViHSD,train,Nguy?n ?ào Nguyên,0
ViHSD,train,th? thua gì bác.. k công khai mà c? VN ?i?u bi?t tên e nó bác ngh? ngta ?ón ???c sao????,0
ViHSD,train,Ai ki nghe nói c?ng ?i ý v?,0
ViHSD,train,"không có thì ""s?n xu?t"" ra -_-",0
ViHSD,train,H?p lí anh ?i,0
ViHSD,train,?c anh ui,0
ViHSD,train,Con ng??i sao l?i nh? v?y?,0
ViHSD,train,B?o dan tri thap thì t? ái :),1
ViHSD,train,T?i sao ph?i tr? l?i th?y,0
ViHSD,train,Ca?i trend Nghe co? ve? ma?i chu?ng no? vâ?n ch?a cha?n nhi?,0
ViHSD,train,?ang lúc d?u sôi l?a b?ng bay ki?m clmn hay gì á r?i ?em bênh v? ?ây cho nhà n??c nuôi t?n c?m t?n g?o,1
ViHSD,train,Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...??????,0
ViHSD,train,Anh Minh ch?m cái con c?c,2
ViHSD,train,reaction th?y ?i,0
ViHSD,train,?o?n ?ánh r?ng chi?m quá nhi?u thgian :)),0
ViHSD,train,"?ù d?i ghê, b?n ??y ngày nào nó c?ng lên Ph??ng xiên cho nó 1 cái, ?u?c ti?ng luôn, vào khám m?y anh ch? c?ng th??ng, xiên h?t m?i th?ng trên Ph??ng luôn cho nó Sum",1
ViHSD,train,Ch? 3 cho e 200 tri?u ?i làm chymmm ?i huhuh,0
ViHSD,train,Tóm l?i là ch?i nhau ph?i có v?n hoá ?????????????? e thích page r?i ??y ????,0
ViHSD,train,A ti?p:,0
ViHSD,train,Khi ?i nh? ?em theo Susan nha th?y :)),0
ViHSD,train,cái tay cái tay,0
ViHSD,train,V?n có 1 ng??i t?ng quà va len thai cho mình mn ?.,0
ViHSD,train,Gi?t cho m?t m? c? cái m?n ru?i (:,0
ViHSD,train,Tóm l?i là con gái hay trai... ??????...b?c mình vl nhìn hoài ko ra ????,1
ViHSD,train,?ào Hà V?n Rinaky Cn anh ch? ?i c?n th?n nhé ?,0
ViHSD,train,?i?u ki?n h?n ch? viruss phát tán có th? là phòng trên 26 ?? là c? b?n. Còn m?i th? ?i?u cis th?. Hãy ??c k? nh?ng bài nói v? viruss corona the trang chính th?ng nha,0
ViHSD,train,B?t ???c ??ng ch?a nh?t vào cho ch?t luôn...lo?i này ??ng ?? ?? tr?ng!!!,2
ViHSD,train,Optimusthree v?i 99% s?c m?nh,0
ViHSD,train,:3,0
ViHSD,train,Hahahaha,0
ViHSD,train,"ô th? m?i ng??i k bit ak, Tr?n D?n m?c b?nh t? khi ch?a có d?ch ak...ông này m?c lo?i b?nh còn nguy hi?m h?n Covid 19...",0
ViHSD,train,??ng b?n nh? ?ó khi zo tù :))),0
ViHSD,train,Nguy?n Th? Lu?n Hà Nam c?ng v?y :),0
ViHSD,train,gáy to th? mi anh,0
ViHSD,train,B?o Tín ?i du l?ch g?p con gì ng?a ng?a ? bi?n e ?ã s? l?m r sao xu?t hi?n con này n?a,0
ViHSD,train,"H?c cách ki?m soát b? não c?a mình ?i, thích thì ti?n t?i, ghét thì b? qua",0
ViHSD,train,Ph?m Linh ko co cl,1
ViHSD,train,Qtrong gì tr??c sau gì ch?ng v? 1 nhà,0
ViHSD,train,T?c diêng là idol v?n còn ngon c?m. T?c diêng là m?t th?y tai nghe ch? ko ph?i n?m chiêm bao,0
ViHSD,train,Con Th??ng cô l?m,0
ViHSD,train,C?c k? thu....,0
ViHSD,train,Thánh ch?i lãnh án,0
ViHSD,train,xe ch? súc v?t mong ng??i dân hãy tránh xa (?? phòng súc v?t phóng u? lung tung làm m?t v? sinh).,2
ViHSD,train,À th? b?n ý hát bài j jui có ai gi?i thi?u cho mình ?c ko. Lâu jui mình ch?ng nghe bài hát m?i nào c?,0
ViHSD,train,"Chúc anh em n?m m?i vui v?, an khang th?nh v??ng.",0
ViHSD,train,Có táo quân th? m?i là t?t ch?,0
ViHSD,train,"Samsung v?n ?i làm bth nhé, m?i ngày ?i làm là 1 ngày vui ????????",0
ViHSD,train,Chú trung ??u L ch? chú tí ??u lân clg ??,2
ViHSD,train,"Chi ?ep qua chi,e thích qua",0
ViHSD,train,Oh shjt,1
ViHSD,train,Cáo t?,0
ViHSD,train,Nh?t Long toang. Ki?u ni còn lâu l?m :((,0
ViHSD,train,Hi?u Bùi s?a d?,2
ViHSD,train,Ok trung b?nh,0
ViHSD,train,:)),0
ViHSD,train,ad nói phét à bê tông ?n th? nào ?c,0
ViHSD,train,Con thuong co ba,0
ViHSD,train,Á nhà tiên tri ?ng h? ngh? quy?t 36 r?i nhé ??????,0
ViHSD,train,Nguy?n Th? Ph??ng b?n ?i cho mình xin ?nh ?? s?ng ?o ?c k ??,0
ViHSD,train,Chào nhà báo v? hoàng Lân. Chào danh hài v? tr? tr?n tiger:-),0
ViHSD,train,Ok ??p trai :v,0
ViHSD,train,Lan Hoa Tùng có dùng acc clone ?i cmt ?âu... d?o ??,0
ViHSD,train,?n b?n nh? cac h?,1
ViHSD,train,C?c kì thuy?t p.....,0
ViHSD,train,Nh?y th? kia nh? may ti?p ??t ko chu?n l?i ngã thì sao. thôi tôi t? nhi?u c? b?o 1 th?ng ra cõng cho ch?c. :)),0
ViHSD,train,reaction th?y ?i,0
ViHSD,train,Ch?i hay l?m ad,0
ViHSD,train,Chào nhéee,0
ViHSD,train,Thu Trang,0
ViHSD,train,?au ??u vl :)),0
ViHSD,train,Mày nói nh? l?n. B?n ?a c?p nó ?óng thu? còn g?p ch?c l?n doanh nghi?p. Tao cho th?ng th?t ?n l?n không oan ch? th?ng bên d??i?,2
ViHSD,train,Th? c? á,0
ViHSD,train,"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",1
ViHSD,train,tks th?y nha ?,0
ViHSD,train,Quá ngu l?n ?i =))),1
ViHSD,train,Fan cô Minh hi?u ?âu taaaa ??,0
ViHSD,train,Nguyen Ngoc Tam gia phú ph?i không ??,0
ViHSD,train,Tình ??ng chí th?t kiên trung!Sách l?ch s? d?y gi?c tra t?n dã man th? nào c?ng không m? m?m có #,2
ViHSD,train,bác d?n ch?m có tình yêu n??c r ??y,0
ViHSD,train,Toang quá th?y ?iiii :))),0
ViHSD,train,"Làm cái ?éo gì thì làm ??ng ?? ng ta nh?c ??n VN là g?n v?i t? ""?n c?p"" :))",1
ViHSD,train,ch? ba nói chuy?n d? th??ng quá,0
ViHSD,train,.,0
ViHSD,train,C? n??c ??ng lòng riêng em thi ko,0
ViHSD,train,Còn ng??ng m? có ba nhé hihihi,0
ViHSD,train,Báo công an ?i r?i qu?n lý th? tr??ng h?t em luôn th?.,0
ViHSD,train,Im m? ?i th?ng m?t lon,2
ViHSD,train,th?ng ad này não b? delay 3 n?m à :)),2
ViHSD,train,??????,0
ViHSD,train,How to nói ??u v? :)),0
ViHSD,train,M?i h? mn ??,0
ViHSD,train,"Ad hãy tìm s? báo nào c?a báo quân ??i khi vi?t "" ba-rách ô-ba-ma"" và ""?ô-na tr?m "". Vãi báo",1
ViHSD,train,B?n chó s?a b?y,1
ViHSD,train,Thì ra th?y ?ã có tính t?u hài t? lúc làm tuy?n th? chuyên nghi?p,0
ViHSD,train,S?p nhà mình c?ng th? ??,0
ViHSD,train,bon comcom ??n v? tác chi?n ?i?n t? vs nh?t ký yêu n??c dm chúng mày vào mà ??c. t??ng ai c?ng nh? chúng mày h?t ??y,2
ViHSD,train,Các em n?y khi vào báo “công ng?” v?i ác h? thì ph?i ch?a vào m?t ác h? nh? th? n?y nè :,2
ViHSD,train,Gi?n méo m?t =)),0
ViHSD,train,MV khá ch?t l??ng,0
ViHSD,train,?i làm c?ng kh? :((,0
ViHSD,train,Th?y duo v?i levi ?? Tú b? v?,0
ViHSD,train,L?i 1 ng??i n?a ra ?i,0
ViHSD,train,Ba?c ?i cho?i quá,0
ViHSD,train,T? hào quá VN ?i ??,0
ViHSD,train,Kh? thân anh ?? gi?i này mà nát m?y ông anti l?i um lên cho mà xem ... R?i team l?i ?? th? bu?n. Còn ngày mai n?a mong các anh c? g?ng,0
ViHSD,train,Ai yêu ib nhé,0
ViHSD,train,Chu Hoài t?o hình su?t mà gi? m?i trend,0
ViHSD,train,em mê con nh? ngoài Tr?n Duy H?ng nh?ng ph?i c? g?ng nhi?u h?n !!!,0
ViHSD,train,T?i m?y a tàu mà ra,0
ViHSD,train,S? th?t ?y :))),0
ViHSD,train,Xin phép c? nhà nhaaaa!!!,0
ViHSD,train,"so v?i "" ngh? thu?t s?p ??t "" tr? giá 8.100 t? vnd c?a ông Hoàng Trung H?i thì tác ph?m ""trái chu?i"".... r?t là chu?i !",0
ViHSD,train,N??c hoa ??u l?y ?âu ra x?n :))) Hot girl méo gì nhìn x?u vkl th? :))),2
ViHSD,train,"Sam luôn luôn ?i theo c?p nhé, 2 con ch?ng lên nhau ý",0
ViHSD,train,Tr??ng Giang no no . ?g ch? trích vì tính ích k? . K ngh? cho ngkhac . Ch? b? s?ng thì t?t th ch? có j ?âu,0
ViHSD,train,",..",0
ViHSD,train,Chúc m?ng n?m m?i,0
ViHSD,train,Quân tâm ae có link xem ch?a bao phê luôn ae ?i,0
ViHSD,train,Th?y làm gì c?ng ???c ??ng ra MV hát là ???c nha th?y. Nói ch? dm mãi yêu th?y,0
ViHSD,train,c? nh? là 1 k?ch b?n hay cho vi?c h?p lý hóa xây sân bay long thành!,0
ViHSD,train,C? ??ng viên qu?ng ninh nh?ng r?t thích ch?t c? ??ng viên h?i phòng??,0
ViHSD,train,??a ô già ?i tr?n h?p lý h?n =)),0
ViHSD,train,Suni H? Linh sau khi th?y vid này ??,0
ViHSD,train,Bóng d?,2
ViHSD,train,Mai Ánh Thi có nha em ?i ibx nha,0
ViHSD,train,Có ti?n ?i ???ng quy?n =)),0
ViHSD,train,Tr?n Bình Tr?ng V?a xog = 1k like :) các bác s?ng nhanh vl :),1
ViHSD,train,Tôi ngh? ti?n không làm gì ???c các ông ? =)),0
ViHSD,train,Nh? ??n ??ng nha 3 gà ????,0
ViHSD,train,Mê cô quá,0
ViHSD,train,"Vô tình th?y, gi?ng anh quá ??",0
ViHSD,train,??ng Thái Hoàng Châu d? âm t? n?m này sang n?m khác,0
ViHSD,train,Tú ko cho anh 3 blue và cái k?t :)),0
ViHSD,train,Fan c?ng nè,0
ViHSD,train,"em ?ây anh ?i , bây gi? em m?i nh?n ra bên em còn có 1 ng??i anh tuy?t v?i nh? anh anh ?? ? ??",0
ViHSD,train,I love you to ca mo,0
ViHSD,train,?umoe nói leo,1
ViHSD,train,"Pha ?ánh r?ng ám ?nh nh?t l?ch s? ?i?n ?nh, có th? l?u truy?n m?i th?i ??i, là bi?u t??ng ?? các di?n viên h?c t?p theo????????",0
ViHSD,train,?u.má tu.biên tu.di?n luon...,1
ViHSD,train,??,0
ViHSD,train,"hoc cc gi` nua~, ve san voi ma` kiem an =]]z",1
ViHSD,train,Thanh Ph??ng c làm 1 bài review ?i c,0
ViHSD,train,?ình Quang thô nh?nh th?t quá bác ? =))),0
ViHSD,train,Abe có th? chi?m ?o?t ???c trái tim c?a Ti?u Ti?u nh?ng riêng blue c?a Ti?u Ti?u thì Abe tu?i lol chi?m ?o?t ???c :vv,0
ViHSD,train,?úng là chó làm ng??i ph?i ch?u ... haizzz,1
ViHSD,train,Bùi Minh Hu? crush ?ii . Anh thích em ?ó ??,0
ViHSD,train,Cô Minh hi?u nói chuy?n th?t thà d? th??ng quá ??????????,0
ViHSD,train,Ai bi?t tên ki?u này là gì không ?,0
ViHSD,train,U?ng n??c là ?i tù,1
ViHSD,train,?éo hi?u ki?u gì,1
ViHSD,train,e chúc panda c?a abe iu d?u 20/10 vui v? nhé và ??ng quên xoá kênh,0
ViHSD,train,?? m? cu?c s?ng,1
ViHSD,train,Ph?i x? lý hình s? m?i sáng m?t ra ?c !,0
ViHSD,train,D?o này n??c m? ko dc an toàn . Sao không th?y cây súng ?????? c?a nhà tien tri v?y,0
ViHSD,train,em v? t?c anh r nh?ng ch?a có fc??,0
ViHSD,train,kho? chi?u va?i??,0
ViHSD,train,Ri thì nh? thor luôn,0
ViHSD,train,Góp vui m?t tí :3,0
ViHSD,train,M?i ng??i xin dành 1 chút th?i gian nguyên góp m?i ng??i 1 like vào ?nh ??i di?n c?a tôi ???c hong :)),0
ViHSD,train,tri?u h?i phúc ngh?o..tr?ng lú,2
ViHSD,train,"nói z thôi cho dân chúng b?t xo?n lên nh?ng th?c ch?c c?ng ?âu vào ??y. nó ch?i ng?m thì ?? ai bi?t. cái nhà n??c này nó nát bét h?t r?i. các bác ??ng có m? làm nhà n??c n?a, t? c?p 3 ?ã xác ??nh là làm ngh? gì mà k liên qua nhà n??c r?i, vì tao bi?t g",2
ViHSD,train,Th?i gian ? b?nh lên t?i 14 ngày kh? n?ng cao v?n ph?i cách li theo dõi thêm,0
ViHSD,train,M?t ?? trông bu?n c??i vl ki?u con ?i cho b? c?m ms kkk,0
ViHSD,train,Pha x? lí hay nh?t t?ng xem,0
ViHSD,train,Thêm qu? carô ? trong n?a nhìn chán ????,0
ViHSD,train,Bà này ??nh th?t. N? t??ng ?áng khâm ph?c. Giá nh? mà Vi?t Nam! Có s? lãnh ??o c?a bà thay cho NTKN thì hay cho ??t n??c.,0
ViHSD,train,d? lu?n viên vào ?ng nào :v,2
ViHSD,train,from,0
ViHSD,train,Nghe kì kì sao á. Con trai v?i m? mà li?u m?y cái l?i nghe ??????,0
ViHSD,train,Lisa cai l?y ??,0
ViHSD,train,Tq h?c xì c? th? gi?i ph?i rung chuy?n,0
ViHSD,train,NGHI?P BÊ ?Ê N?NG L?M R MÁ ?I,2
ViHSD,train,Duy Tr?n xin video v?i,0
ViHSD,train,Yêu th?y d?u bé 3,0
ViHSD,train,Nó gi?ng vãi lol a ?i!,0
ViHSD,train,C?ng ?ã ??n lúc nh?ng ng??i làm công tác b?o v? an ninh.các khu ph? c?n vào cu?c. Vì hình ?nh c?a ??t n??c không ?? m?y th?ng l?u manh làm m?t m?t ???c,2
ViHSD,train,add e mu?n mua cái này mua ? ?âu ?.,0
ViHSD,train,L?i lên c?n hoang t??ng b?c cao h?n!??????,0
ViHSD,train,Nguy?n Minh b? ba siêu ph?m r sao ??,0
ViHSD,train,Ph??ng Minn ng? ngh?nh nh? l? lone nh? ? Rõ ràng c? tình t?o ph?t ?? bán hàng online :))) mà làm nh? hay l?m . S?ng d? v ai mua ?? cho tr?i .,2
